model,total_evaluated,match_f1,kendall_tau,tau_norm,lis_ratio,precision,recall,avg_steps,avg_matched,ordered_f1_kt_a0.00,ordered_f1_lis_a0.00,ordered_f1_kt_a0.10,ordered_f1_lis_a0.10,ordered_f1_kt_a0.20,ordered_f1_lis_a0.20,ordered_f1_kt_a0.30,ordered_f1_lis_a0.30,ordered_f1_kt_a0.50,ordered_f1_lis_a0.50
GPT-5,5941,0.6566665757266106,0.16932013509856103,0.5846600675492805,0.6094642793989062,0.9924516686740805,0.5136316061203829,5.668574314088537,5.611176569601077,0.6566665757266106,0.6566665757266106,0.629378634749422,0.6304889609388468,0.6020906937722332,0.604311346151083,0.5748027527950447,0.5781337313633191,0.5202268708406673,0.5257785017877914
GPT-5-mini,6360,0.7747103471019838,0.17002056660856826,0.5850102833042841,0.5588741619909839,0.9802368377702106,0.6706996257882666,7.582232704402515,7.365408805031446,0.7747103471019838,0.7747103471019838,0.742669477759707,0.7402980547207246,0.71062860841743,0.7058857623394655,0.6785877390751531,0.6714734699582061,0.6145060003905993,0.6026488851956875
GPT-5.2 Instant,6242,0.5759142495550678,0.14252489277025945,0.5712624463851297,0.6402019008795683,0.9945990139926303,0.42435372230205193,4.735821851970522,4.704261454661967,0.5759142495550678,0.5759142495550678,0.5511867060558081,0.5545270787345244,0.5264591625565485,0.533139907913981,0.5017316190572888,0.5117527370934377,0.45227653205876944,0.468978395452351
Gemini 2.5 Flash,5696,0.7525618646205562,0.19875359435779671,0.5993767971788984,0.5343213171140595,0.784593433390982,0.8552721274251059,19.1279845505618,9.709269662921349,0.7525618646205562,0.7525618646205562,0.7225911386436151,0.7176165017643148,0.6926204126666741,0.6826711389080735,0.662649686689733,0.647725776051832,0.602708234735851,0.5778350503393493
Qwen3-VL-8B,5521,0.760197343814559,0.17195174756947396,0.5859758737847369,0.5661091431318207,0.9545961514079858,0.6804888013536208,8.5066111211737,7.44394131497917,0.760197343814559,0.760197343814559,0.7287758520095869,0.7267485547117684,0.6973543602046149,0.693299765608978,0.6659328683996429,0.6598509765061874,0.603089884789699,0.5929533983006067
Qwen3-VL-32B,5762,0.7935762396650137,0.1741604629012605,0.5870802314506303,0.5363733429258271,0.9061109508825194,0.7782394159242806,11.679451579312738,8.565255119750086,0.7935762396650137,0.7935762396650137,0.7607310186510863,0.7565188085910266,0.7278857976371591,0.7194613775170399,0.6950405766232315,0.6824039464430527,0.629350134595377,0.6082890842950787
Qwen2.5-VL-32B,6073,0.6845766960100251,0.1693837653982772,0.5846918826991385,0.5997269413659857,0.9896680527447184,0.5493494388930688,6.151325539272189,6.058455458587189,0.6845766960100251,0.6845766960100251,0.6561185999928894,0.6565532763498749,0.6276605039757536,0.6285298566897249,0.5992024079586178,0.6005064370295748,0.5422862159243466,0.5444595977092747
Qwen3-VL-2B,4799,0.7899675088206022,0.1707435829740848,0.5853717914870424,0.5602241989302207,0.9634310539573107,0.7108834073601169,7.887268180871015,7.424880183371536,0.7899675088206022,0.7899675088206022,0.7572834140040704,0.7547657020513828,0.7245993191875387,0.7195638952821635,0.6919152243710067,0.684362088512944,0.6265470347379433,0.6139584749745052
Qwen2.5-VL-7B,4914,0.6164540849920717,0.17455070719273838,0.5872753535963692,0.6333040281839032,0.9916182249512255,0.4736954883893925,5.271265771265771,5.1798941798941796,0.6164540849920717,0.6164540849920717,0.5910825420888502,0.5931466388269174,0.565710999185629,0.5698391926617632,0.5403394562824075,0.5465317464966089,0.4895963704759649,0.49991685416630055
Qwen2.5-VL-3B,5761,0.5310823269858757,0.22053572294900903,0.6102678614745045,0.6940245332300939,0.9935544358723013,0.3833945553276025,4.127582017010935,4.072036104842909,0.5310823269858757,0.5310823269858757,0.5103550933979982,0.5141742575848383,0.48962785981012075,0.4972661881838006,0.4689006262222432,0.4803581187827631,0.4274461590464883,0.44654197998068795
