model,total_evaluated,match_f1,kendall_tau,tau_norm,lis_ratio,precision,recall,avg_steps,avg_matched,ordered_f1_kt_a0.00,ordered_f1_lis_a0.00,ordered_f1_kt_a0.10,ordered_f1_lis_a0.10,ordered_f1_kt_a0.20,ordered_f1_lis_a0.20,ordered_f1_kt_a0.30,ordered_f1_lis_a0.30,ordered_f1_kt_a0.50,ordered_f1_lis_a0.50
InternVL3.5-38B,5795,0.6726693937837097,0.17558422942417248,0.5877921147120863,0.6078713658808194,0.9810394570350935,0.5474072668493479,6.339775668679897,6.008973252804141,0.6726693937837097,0.6726693937837097,0.6449393088465326,0.6454831191899573,0.6172092239093555,0.6182968445962047,0.5894791389721783,0.5911105700024522,0.5340189690978242,0.536738020814947
InternVL3.5-8B,5687,0.5941883880004343,0.2517451506688542,0.6258725753344271,0.6551065948126739,0.9878701795694543,0.4659902802819931,5.563566027782662,5.353261825215403,0.5941883880004343,0.5941883880004343,0.5703747200619491,0.5712187912672663,0.546561052123464,0.5482491945340985,0.5227473841849787,0.5252795978009305,0.4751200483080084,0.4793404043345946
InternVL3.5-4B,5746,0.4788628216970121,0.46160062700123417,0.7308003135006171,0.7499754569552485,0.9928999504797011,0.3604967314011672,4.160111381830839,4.061956143404108,0.4788628216970121,0.4788628216970121,0.4618381347703359,0.46243360194013217,0.4448134478436599,0.44600438218325233,0.4277887609169838,0.42957516242637245,0.39373938706363165,0.39671672291261284
InternVL3.5-2B,4679,0.6382580554918796,0.17378481144745933,0.5868924057237297,0.6331791689390724,0.9872750069865596,0.5049327927118885,5.342808292370164,5.215430647574268,0.6382580554918796,0.6382580554918796,0.6117522754545708,0.6138027351773223,0.5852464954172619,0.589347414862765,0.558740715379953,0.5648920945482075,0.5057291553053351,0.5159814539190929
InternVL3.5-1B,3950,0.5324657593810337,0.19811863101736515,0.5990593155086826,0.6888028680180579,0.9930176821328054,0.3924731779539701,4.048101265822785,3.971139240506329,0.5324657593810337,0.5324657593810337,0.51071443854041,0.5145449670452502,0.4889631176997863,0.49662417470946674,0.4672117968591625,0.4787033823736832,0.423709155177915,0.44286179770211614
Gemma3-12B,5430,0.7098854878467232,0.2201349698384575,0.6100674849192288,0.6158619400695585,0.9838128778850064,0.5857051011369281,6.46427255985267,6.212154696132597,0.7098854878467232,0.7098854878467232,0.6821726771833782,0.6820641301158396,0.654459866520033,0.6542427723849559,0.6267470558566878,0.6264214146540722,0.5713214345299976,0.570778699192305
Gemma3-4B,5692,0.6917695811689152,0.2339670460117208,0.6169835230058605,0.6284027081000796,0.9829654866717116,0.5663335635538345,6.404602951510893,6.13510189739986,0.6917695811689152,0.6917695811689152,0.6652037705694821,0.6653350383707038,0.638637959970049,0.6389004955724923,0.6120721493706158,0.612465952774281,0.5589405281717498,0.5595968671778582
Llama 3.2-11B,4630,0.6475797710130355,0.1835209262349124,0.5917604631174562,0.622287851024878,0.9817337978148306,0.522195478272553,5.772786177105831,5.508639308855291,0.6475797710130355,0.6475797710130355,0.6208254814564119,0.6220931423370991,0.5940711918997884,0.5966065136611626,0.5673169023431648,0.5711198849852261,0.5138083232299178,0.5201466276333534
LLaVA-v1.6-7B,6159,0.5297450029122237,0.14936123482153682,0.5746806174107684,0.6639056233856526,0.9941600725959944,0.38229048880425204,4.077934729663906,4.040591005033285,0.5297450029122237,0.5297450029122237,0.5073384410251737,0.5113810466618828,0.4849318791381237,0.493017090411542,0.4625253172510737,0.47465313416120103,0.4177121934769736,0.43792522166051934
MiniCPMv2.6-8B,4531,0.3021581039086032,0.47009880920717384,0.7350494046035869,0.8536852441067846,0.9976412491723682,0.18808862398269904,1.8393290664312514,1.8340322224674466,0.3021581039086032,0.3021581039086032,0.29250409049579484,0.29667595106726946,0.2828500770829865,0.2911937982259355,0.2731960636701781,0.2857116453846017,0.25388803684456146,0.27474733970193405
