sample_idx,match_f1,kendall_tau,tau_normalized,lis_ratio,precision,recall,num_predicted_steps,num_reference_steps,num_matched
4112,0.888888888888889,-0.14285714285714285,0.4285714285714286,0.5,1.0,0.8,8,10,8
4113,0.8571428571428571,0.3333333333333333,0.6666666666666666,0.5,1.0,0.75,6,8,6
4114,0.6666666666666666,-0.6666666666666666,0.16666666666666669,0.5,1.0,0.5,4,8,4
4115,0.47058823529411764,0.3333333333333333,0.6666666666666666,0.75,1.0,0.3076923076923077,4,13,4
4116,0.5333333333333333,0.0,0.5,0.5,1.0,0.36363636363636365,4,11,4
4117,0.5714285714285715,0.3333333333333333,0.6666666666666666,0.5,1.0,0.4,4,10,4
4119,0.6153846153846153,0.3333333333333333,0.6666666666666666,0.5,1.0,0.4444444444444444,4,9,4
4122,0.6153846153846153,-0.3333333333333333,0.33333333333333337,0.5,1.0,0.4444444444444444,4,9,4
4123,0.4,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.25,3,12,3
4124,0.8,0.3333333333333333,0.6666666666666666,0.75,1.0,0.6666666666666666,4,6,4
4125,0.4615384615384615,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.3,3,10,3
4126,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,3,6,3
4127,0.8750000000000001,-0.047619047619047616,0.47619047619047616,0.42857142857142855,1.0,0.7777777777777778,7,9,7
4128,0.6666666666666666,0.2,0.6,0.4,1.0,0.5,5,10,5
4129,0.5217391304347826,0.6,0.8,0.6666666666666666,1.0,0.35294117647058826,6,17,6
4130,0.6666666666666666,-0.3333333333333333,0.33333333333333337,0.5,1.0,0.5,4,8,4
4131,0.4210526315789474,0.6666666666666666,0.8333333333333333,0.75,1.0,0.26666666666666666,4,15,4
4132,0.47058823529411764,0.6666666666666666,0.8333333333333333,0.75,1.0,0.3076923076923077,4,13,4
4133,0.8,0.5111111111111111,0.7555555555555555,0.7,0.6666666666666666,1.0,15,10,10
4134,0.5263157894736842,0.0,0.5,0.6,1.0,0.35714285714285715,5,14,5
4135,0.9090909090909091,0.6,0.8,0.6,1.0,0.8333333333333334,5,6,5
4136,0.5882352941176471,0.4,0.7,0.8,1.0,0.4166666666666667,5,12,5
4137,0.3157894736842105,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.1875,3,16,3
4138,0.6666666666666666,-0.2,0.4,0.5,1.0,0.5,6,12,6
4140,0.7368421052631579,0.23809523809523808,0.6190476190476191,0.42857142857142855,1.0,0.5833333333333334,7,12,7
4141,0.8333333333333333,0.2,0.6,0.6,1.0,0.7142857142857143,5,7,5
4142,0.5555555555555556,-0.4,0.3,0.4,1.0,0.38461538461538464,5,13,5
4143,0.4615384615384615,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.3,3,10,3
4144,0.5454545454545454,1.0,1.0,1.0,1.0,0.375,3,8,3
4145,0.6666666666666666,0.0,0.5,0.5,1.0,0.5,4,8,4
4146,0.8750000000000001,-0.14285714285714285,0.4285714285714286,0.42857142857142855,1.0,0.7777777777777778,7,9,7
4147,0.7499999999999999,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6,3,5,3
4148,0.9090909090909091,0.8,0.9,0.8,1.0,0.8333333333333334,5,6,5
4149,0.5,0.0,0.5,0.75,1.0,0.3333333333333333,4,12,4
4150,0.7777777777777778,0.14285714285714285,0.5714285714285714,0.5714285714285714,1.0,0.6363636363636364,7,11,7
4151,0.33333333333333337,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.2,3,15,3
4152,0.5555555555555556,-0.2,0.4,0.4,1.0,0.38461538461538464,5,13,5
4153,0.9090909090909091,0.0,0.5,0.6,1.0,0.8333333333333334,5,6,5
4154,0.4,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.25,3,12,3
4155,0.375,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.23076923076923078,3,13,3
4156,0.7499999999999999,0.4666666666666667,0.7333333333333334,0.6666666666666666,1.0,0.6,6,10,6
4157,0.6666666666666666,-1.0,0.0,0.25,1.0,0.5,4,8,4
4158,0.6666666666666666,0.2,0.6,0.6,1.0,0.5,5,10,5
4159,0.9090909090909091,0.2,0.6,0.6,1.0,0.8333333333333334,5,6,5
4160,0.8571428571428571,0.2,0.6,0.6666666666666666,1.0,0.75,6,8,6
4161,0.8,0.8666666666666667,0.9333333333333333,0.8333333333333334,1.0,0.6666666666666666,6,9,6
4162,0.8,0.3333333333333333,0.6666666666666666,0.5,1.0,0.6666666666666666,6,9,6
4163,1.0,0.14285714285714285,0.5714285714285714,0.625,1.0,1.0,8,8,8
4164,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,3,9,3
4165,0.6666666666666666,0.2,0.6,0.6666666666666666,1.0,0.5,6,12,6
4166,0.8,0.3333333333333333,0.6666666666666666,0.75,1.0,0.6666666666666666,4,6,4
4167,0.7142857142857143,-0.4,0.3,0.4,1.0,0.5555555555555556,5,9,5
4168,0.6153846153846153,0.3333333333333333,0.6666666666666666,0.75,1.0,0.4444444444444444,4,9,4
4169,0.9090909090909091,-0.4,0.3,0.4,1.0,0.8333333333333334,5,6,5
4170,0.7692307692307693,0.0,0.5,0.6,1.0,0.625,5,8,5
4171,0.5882352941176471,-0.6,0.2,0.4,1.0,0.4166666666666667,5,12,5
4172,0.8333333333333333,-0.2,0.4,0.6,1.0,0.7142857142857143,5,7,5
4173,0.5454545454545454,-1.0,0.0,0.3333333333333333,1.0,0.375,3,8,3
4174,0.6153846153846153,-0.3333333333333333,0.33333333333333337,0.5,1.0,0.4444444444444444,4,9,4
4175,0.7142857142857143,0.4,0.7,0.6,1.0,0.5555555555555556,5,9,5
4176,0.33333333333333337,1.0,1.0,1.0,0.2,1.0,5,1,1
4177,0.4615384615384615,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.3,3,10,3
4178,0.4615384615384615,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.3,3,10,3
4179,0.888888888888889,0.6666666666666666,0.8333333333333333,0.75,1.0,0.8,4,5,4
4180,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.75,1.0,0.5,4,8,4
4181,0.5714285714285715,0.2,0.6,0.6666666666666666,1.0,0.4,6,15,6
