sample_idx,match_f1,kendall_tau,tau_normalized,lis_ratio,precision,recall,num_predicted_steps,num_reference_steps,num_matched
0,0.8,0.4666666666666667,0.7333333333333334,0.6666666666666666,1.0,0.6666666666666666,6,9,6
1,0.0,1.0,1.0,1.0,0.0,0.0,0,9,0
2,0.5454545454545454,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.375,3,8,3
3,0.0,1.0,1.0,1.0,0.0,0.0,0,6,0
4,0.7692307692307693,0.6,0.8,0.8,1.0,0.625,5,8,5
5,0.6,1.0,1.0,1.0,1.0,0.42857142857142855,3,7,3
6,0.6666666666666666,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.5,3,6,3
7,0.0,1.0,1.0,1.0,0.0,0.0,0,8,0
8,0.7499999999999999,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.6,3,5,3
9,0.7499999999999999,1.0,1.0,1.0,1.0,0.6,3,5,3
10,0.5,-1.0,0.0,0.5,1.0,0.3333333333333333,2,6,2
11,0.5,-1.0,0.0,0.5,1.0,0.3333333333333333,2,6,2
12,0.6666666666666666,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.5,3,6,3
13,0.6,1.0,1.0,1.0,1.0,0.42857142857142855,3,7,3
14,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,3,6,3
15,0.9090909090909091,0.4,0.7,0.8,1.0,0.8333333333333334,5,6,5
16,0.7499999999999999,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6,3,5,3
17,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,3,6,3
18,0.7499999999999999,1.0,1.0,1.0,1.0,0.6,3,5,3
19,0.6666666666666666,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.5,3,6,3
20,0.5714285714285715,-1.0,0.0,0.5,1.0,0.4,2,5,2
21,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5,3,6,3
22,0.5454545454545454,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.375,3,8,3
23,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,2,6,2
24,0.4,-1.0,0.0,0.5,1.0,0.25,2,8,2
25,0.9090909090909091,0.2,0.6,0.8,1.0,0.8333333333333334,5,6,5
26,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5,3,6,3
27,0.6,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.42857142857142855,3,7,3
28,0.7499999999999999,1.0,1.0,1.0,1.0,0.6,3,5,3
29,0.6153846153846153,1.0,1.0,1.0,1.0,0.4444444444444444,4,9,4
30,0.8,-0.6666666666666666,0.16666666666666669,0.5,1.0,0.6666666666666666,4,6,4
31,0.8571428571428571,1.0,1.0,1.0,1.0,0.75,3,4,3
32,0.5714285714285715,-1.0,0.0,0.5,1.0,0.4,2,5,2
33,0.7499999999999999,1.0,1.0,1.0,1.0,0.6,3,5,3
34,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5,3,6,3
35,0.7499999999999999,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6,3,5,3
36,0.4444444444444445,1.0,1.0,1.0,1.0,0.2857142857142857,2,7,2
37,0.6,1.0,1.0,1.0,1.0,0.42857142857142855,3,7,3
38,0.7499999999999999,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6,3,5,3
39,0.6,1.0,1.0,1.0,1.0,0.42857142857142855,3,7,3
40,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5,3,6,3
41,0.923076923076923,0.3333333333333333,0.6666666666666666,0.5,1.0,0.8571428571428571,6,7,6
42,0.6,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.42857142857142855,3,7,3
43,0.4444444444444445,-1.0,0.0,0.5,1.0,0.2857142857142857,2,7,2
44,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5,3,6,3
45,0.6,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.42857142857142855,3,7,3
46,0.7272727272727273,-1.0,0.0,0.25,1.0,0.5714285714285714,4,7,4
47,0.6666666666666666,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.5,3,6,3
48,0.4444444444444445,-1.0,0.0,0.5,1.0,0.2857142857142857,2,7,2
49,0.7692307692307693,0.4,0.7,0.6,1.0,0.625,5,8,5
50,0.7499999999999999,-1.0,0.0,0.3333333333333333,1.0,0.6,3,5,3
51,0.7499999999999999,1.0,1.0,1.0,1.0,0.6,3,5,3
52,0.7499999999999999,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.6,3,5,3
53,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5,3,6,3
54,0.0,1.0,1.0,1.0,0.0,0.0,0,8,0
55,0.5454545454545454,1.0,1.0,1.0,1.0,0.375,3,8,3
56,0.7692307692307693,0.2,0.6,0.6,1.0,0.625,5,8,5
57,0.5454545454545454,1.0,1.0,1.0,1.0,0.375,3,8,3
58,0.6666666666666666,0.6666666666666666,0.8333333333333333,0.75,1.0,0.5,4,8,4
59,0.5454545454545454,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.375,3,8,3
60,0.6666666666666666,0.0,0.5,0.5,1.0,0.5,4,8,4
61,0.4,-1.0,0.0,0.5,1.0,0.25,2,8,2
62,0.4,-1.0,0.0,0.5,1.0,0.25,2,8,2
63,0.5454545454545454,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.375,3,8,3
64,0.6666666666666666,1.0,1.0,1.0,0.5,1.0,2,1,1
65,0.5454545454545454,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.375,3,8,3
66,0.2222222222222222,1.0,1.0,1.0,1.0,0.125,1,8,1
67,0.5454545454545454,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.375,3,8,3
68,0.5454545454545454,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.375,3,8,3
69,0.5454545454545454,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.375,3,8,3
70,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.75,1.0,0.5,4,8,4
71,0.6666666666666666,0.0,0.5,0.5,1.0,0.5,4,8,4
72,0.5454545454545454,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.375,3,8,3
73,0.5454545454545454,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.375,3,8,3
74,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5,3,6,3
75,0.5454545454545454,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.375,3,8,3
76,0.3636363636363636,1.0,1.0,1.0,1.0,0.2222222222222222,2,9,2
77,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,3,9,3
78,0.4,1.0,1.0,1.0,1.0,0.25,2,8,2
79,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,3,9,3
80,0.4,-1.0,0.0,0.5,1.0,0.25,2,8,2
81,0.6153846153846153,-0.6666666666666666,0.16666666666666669,0.5,1.0,0.4444444444444444,4,9,4
82,0.5454545454545454,1.0,1.0,1.0,1.0,0.375,3,8,3
83,0.5454545454545454,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.375,3,8,3
84,0.5,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.3333333333333333,3,9,3
85,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,3,9,3
86,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,1.0,0.5,4,8,4
87,0.5454545454545454,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.375,3,8,3
88,0.5454545454545454,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.375,3,8,3
89,0.7692307692307693,0.2,0.6,0.4,1.0,0.625,5,8,5
90,0.4,-1.0,0.0,0.5,1.0,0.25,2,8,2
91,0.5454545454545454,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.375,3,8,3
92,0.5454545454545454,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.375,3,8,3
93,0.5454545454545454,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.375,3,8,3
94,0.5454545454545454,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.375,3,8,3
95,0.7272727272727273,-0.3333333333333333,0.33333333333333337,0.5,1.0,0.5714285714285714,4,7,4
96,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,1.0,0.5,4,8,4
97,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,4,8,4
98,0.6666666666666666,-0.6666666666666666,0.16666666666666669,0.5,1.0,0.5,4,8,4
99,0.0,1.0,1.0,1.0,0.0,0.0,0,8,0
100,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.75,1.0,0.5,4,8,4
101,0.0,1.0,1.0,1.0,0.0,0.0,0,8,0
102,0.6666666666666666,0.6666666666666666,0.8333333333333333,0.75,1.0,0.5,4,8,4
103,0.5454545454545454,-1.0,0.0,0.3333333333333333,1.0,0.375,3,8,3
104,0.5454545454545454,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.375,3,8,3
105,0.5454545454545454,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.375,3,8,3
106,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,4,8,4
107,0.6153846153846153,0.3333333333333333,0.6666666666666666,0.75,1.0,0.4444444444444444,4,9,4
108,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,3,9,3
109,0.5454545454545454,-1.0,0.0,0.3333333333333333,1.0,0.375,3,8,3
110,0.5454545454545454,1.0,1.0,1.0,1.0,0.375,3,8,3
111,0.7692307692307693,0.4,0.7,0.8,1.0,0.625,5,8,5
112,0.7692307692307693,0.8,0.9,0.8,1.0,0.625,5,8,5
113,0.5454545454545454,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.375,3,8,3
114,0.5454545454545454,-1.0,0.0,0.3333333333333333,1.0,0.375,3,8,3
115,0.7272727272727273,0.6666666666666666,0.8333333333333333,0.75,1.0,0.5714285714285714,4,7,4
116,0.5454545454545454,1.0,1.0,1.0,1.0,0.375,3,8,3
117,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.75,1.0,0.5,4,8,4
118,0.5,-1.0,0.0,0.3333333333333333,1.0,0.3333333333333333,3,9,3
119,0.0,1.0,1.0,1.0,0.0,0.0,0,9,0
120,0.6666666666666666,-0.3333333333333333,0.33333333333333337,0.5,1.0,0.5,4,8,4
121,0.6666666666666666,0.6666666666666666,0.8333333333333333,0.75,1.0,0.5,4,8,4
122,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.75,1.0,0.5,4,8,4
123,0.4,1.0,1.0,1.0,1.0,0.25,2,8,2
124,0.4615384615384615,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.3,3,10,3
125,0.5454545454545454,1.0,1.0,1.0,1.0,0.375,3,8,3
126,0.5454545454545454,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.375,3,8,3
127,0.5454545454545454,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.375,3,8,3
