sample_idx,match_f1,ordered_f1,kendall_tau,tau_normalized,precision,recall,num_predicted_steps,num_reference_steps
0,1.0,0.8583333333333333,0.05555555555555555,0.5277777777777778,1.0,1.0,9,9
1,0.8,0.752,0.6,0.8,1.0,0.6666666666666666,6,9
2,0.9333333333333333,0.8533333333333333,0.42857142857142855,0.7142857142857143,1.0,0.875,7,8
3,1.0,0.82,-0.2,0.4,1.0,1.0,6,6
4,0.7692307692307693,0.6769230769230768,0.2,0.6,1.0,0.625,5,8
5,1.0,0.9428571428571428,0.6190476190476191,0.8095238095238095,1.0,1.0,7,7
6,0.8,0.68,0.0,0.5,1.0,0.6666666666666666,4,6
7,0.8571428571428571,0.8228571428571427,0.7333333333333333,0.8666666666666667,1.0,0.75,6,8
8,0.9090909090909091,0.7454545454545454,-0.2,0.4,0.8333333333333334,1.0,6,5
9,0.9090909090909091,0.8818181818181817,0.8,0.9,0.8333333333333334,1.0,6,5
10,0.9090909090909091,0.8545454545454545,0.6,0.8,1.0,0.8333333333333334,5,6
11,1.0,0.86,0.06666666666666667,0.5333333333333333,1.0,1.0,6,6
12,0.9090909090909091,0.7999999999999998,0.2,0.6,1.0,0.8333333333333334,5,6
13,0.923076923076923,0.8307692307692306,0.3333333333333333,0.6666666666666666,1.0,0.8571428571428571,6,7
14,0.9090909090909091,0.7454545454545454,-0.2,0.4,1.0,0.8333333333333334,5,6
15,0.9090909090909091,0.8818181818181817,0.8,0.9,1.0,0.8333333333333334,5,6
16,1.0,0.9099999999999999,0.4,0.7,1.0,1.0,5,5
17,1.0,0.86,0.06666666666666667,0.5333333333333333,1.0,1.0,6,6
18,0.9090909090909091,0.8272727272727272,0.4,0.7,0.8333333333333334,1.0,6,5
19,0.9090909090909091,0.7181818181818181,-0.4,0.3,1.0,0.8333333333333334,5,6
20,0.9090909090909091,0.7727272727272727,0.0,0.5,0.8333333333333334,1.0,6,5
21,0.923076923076923,0.8492307692307691,0.4666666666666667,0.7333333333333334,0.8571428571428571,1.0,7,6
22,0.9333333333333333,0.8666666666666666,0.5238095238095238,0.7619047619047619,1.0,0.875,7,8
23,0.9090909090909091,0.7181818181818181,-0.4,0.3,1.0,0.8333333333333334,5,6
24,0.8571428571428571,0.7714285714285714,0.3333333333333333,0.6666666666666666,1.0,0.75,6,8
25,0.8571428571428571,0.6685714285714285,-0.4666666666666667,0.26666666666666666,0.75,1.0,8,6
26,1.0,0.86,0.06666666666666667,0.5333333333333333,1.0,1.0,6,6
27,1.0,0.8714285714285713,0.14285714285714285,0.5714285714285714,1.0,1.0,7,7
28,1.0,0.9099999999999999,0.4,0.7,1.0,1.0,5,5
29,0.8,0.736,0.4666666666666667,0.7333333333333334,1.0,0.6666666666666666,6,9
30,0.9090909090909091,0.8545454545454545,0.6,0.8,1.0,0.8333333333333334,5,6
31,0.8,0.68,0.0,0.5,0.6666666666666666,1.0,6,4
32,0.9090909090909091,0.7181818181818181,-0.4,0.3,0.8333333333333334,1.0,6,5
33,0.9090909090909091,0.8545454545454545,0.6,0.8,0.8333333333333334,1.0,6,5
