sample_idx,match_f1,ordered_f1,kendall_tau,tau_normalized,precision,recall,num_predicted_steps,num_reference_steps
1479,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,0.16666666666666666,2,12
1480,0.375,0.3,-0.3333333333333333,0.33333333333333337,1.0,0.23076923076923078,3,13
1481,0.5,0.475,0.6666666666666666,0.8333333333333333,1.0,0.3333333333333333,4,12
1482,0.4444444444444445,0.37777777777777777,0.0,0.5,1.0,0.2857142857142857,4,14
1483,0.4,0.4,1.0,1.0,1.0,0.25,3,12
1484,0.4444444444444445,0.37777777777777777,0.0,0.5,1.0,0.2857142857142857,4,14
1485,0.4,0.4,1.0,1.0,1.0,0.25,3,12
1486,0.5882352941176471,0.4823529411764706,-0.2,0.4,1.0,0.4166666666666667,5,12
1487,0.375,0.33749999999999997,0.3333333333333333,0.6666666666666666,1.0,0.23076923076923078,3,13
1488,0.7272727272727273,0.6727272727272727,0.5,0.75,1.0,0.5714285714285714,8,14
1489,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.5,3,6
1490,0.5,0.425,0.0,0.5,1.0,0.3333333333333333,4,12
1491,0.4444444444444445,0.37777777777777777,0.0,0.5,1.0,0.2857142857142857,4,14
1492,0.5263157894736842,0.4473684210526315,0.0,0.5,1.0,0.35714285714285715,5,14
1493,0.4,0.36,0.3333333333333333,0.6666666666666666,1.0,0.25,3,12
1494,0.6666666666666666,0.5866666666666666,0.2,0.6,1.0,0.5,6,12
1495,0.4210526315789474,0.35789473684210527,0.0,0.5,1.0,0.26666666666666666,4,15
1496,0.5714285714285715,0.48571428571428577,0.0,0.5,1.0,0.4,4,10
1497,0.5555555555555556,0.5055555555555555,0.4,0.7,1.0,0.38461538461538464,5,13
1498,0.4444444444444445,0.4444444444444445,1.0,1.0,1.0,0.2857142857142857,4,14
1499,0.4444444444444445,0.39999999999999997,0.3333333333333333,0.6666666666666666,1.0,0.2857142857142857,4,14
1501,0.47058823529411764,0.3529411764705882,-0.6666666666666666,0.16666666666666669,1.0,0.3076923076923077,4,13
1502,0.888888888888889,0.8317460317460318,0.5714285714285714,0.7857142857142857,1.0,0.8,8,10
1503,0.5555555555555556,0.4888888888888889,0.2,0.6,1.0,0.38461538461538464,5,13
1504,0.47058823529411764,0.39999999999999997,0.0,0.5,1.0,0.3076923076923077,4,13
1505,0.47058823529411764,0.37647058823529406,-0.3333333333333333,0.33333333333333337,1.0,0.3076923076923077,4,13
1506,0.4,0.4,1.0,1.0,1.0,0.25,3,12
1507,0.6666666666666666,0.5733333333333333,0.06666666666666667,0.5333333333333333,1.0,0.5,6,12
